exchange,symbol,company
XNSE,PRADIP,Pradip Overseas Ltd. (PRADIP)
XNSE,M_MFIN_UADJ,Mahindra & Mahindra Financial Services Ltd. (M&MFIN) Unadjusted Stock Prices
XNSE,KIRIINDUS,Kiri Industries Ltd (KIRIINDUS)
XNSE,SARLAPOLY_UADJ,Sarla Performance Fibers Ltd. (SARLAPOLY) Unadjusted Stock Prices
XNSE,RUCHISOYA,Ruchi Soya Industries Ltd. (RUCHISOYA)
XNSE,REPCOHOME,Repco Home Finance Ltd (REPCOHOME)
XNSE,UNICHEMLAB,Unichem Laboratories Ltd. (UNICHEMLAB)
XNSE,GSCLCEMENT,Gujarat Sidhee Cement Ltd. (GSCLCEMENT)
XNSE,WELSYNTEX_UADJ,AYM Syntex Ltd. (WELSYNTEX) Unadjusted Stock Prices
XNSE,ITMMNL,MIG Media Neurons Ltd (ITMMNL)
XNSE,ABCIL,Aditya Birla Chemicals (India) Ltd (ABCIL)
XNSE,SITICABLE_UADJ,Siti Networks Ltd. (SITICABLE) Unadjusted Stock Prices
XNSE,M50,Motilal Oswal Asset Management Company Limited (M50)
XNSE,SAIL,Steel Authority of India Ltd. (SAIL)
XNSE,MARKSANS_UADJ,Marksans Pharma Ltd . (MARKSANS) Unadjusted Stock Prices
XNSE,NSIL,Nalwa Sons Investments Ltd. (NSIL)
XNSE,KOTHARIPET_UADJ,Kothari Petrochemicals Ltd. (KOTHARIPET) Unadjusted Stock Prices
XNSE,IDBIGOLD,IDBI Bank Ltd (IDBIGOLD)
XNSE,GUJFLUORO_UADJ,Gujarat Fluorochemicals Ltd. (GUJFLUORO) Unadjusted Stock Prices
XNSE,FRETAIL_UADJ,Future Retail Ltd. (FRETAIL) Unadjusted Stock Prices
XNSE,ELGIRUBCO_UADJ,Elgi Rubber Co Ltd (ELGIRUBCO) Unadjusted Stock Prices
XNSE,AXISGOLD,Axis Asset Management Company Limited (AXISGOLD)
XNSE,THOMASCOTT_UADJ,Thomas Scott (India) Ltd (THOMASCOTT) Unadjusted Stock Prices
XNSE,SMMAHESHWARI_UADJ,Maheshwari Logistics Ltd. (SMMAHESHWARI) Unadjusted Stock Prices
XNSE,UNIENTER,Uniphos Enterprises Ltd. (UNIENTER)
XNSE,TEAMLEASE,TeamLease Services Ltd (TEAMLEASE)
XNSE,SFL_UADJ,Sheela Foam Ltd (SFL) Unadjusted Stock Prices
XNSE,MFWB3RD,Sundaram Asset Management Company Limited (MFWB3RD)
XNSE,SASKEN_UADJ,Sasken Technologies Ltd. (SASKEN) Unadjusted Stock Prices
XNSE,GUJNREDVR,Gujarat NRE Coke Ltd (GUJNREDVR)
XNSE,MINDAIND_UADJ,Minda Industries Ltd. (MINDAIND) Unadjusted Stock Prices
XNSE,KAJARIACER,Kajaria Ceramics Ltd. (KAJARIACER)
XNSE,GINNIFILA,Ginni Filaments Ltd. (GINNIFILA)
XNSE,GAL_UADJ,Gyscoal Alloys Ltd (GAL) Unadjusted Stock Prices
XNSE,LYPSAGEMS,Lypsa Gems & Jewellery Ltd (LYPSAGEMS)
XNSE,OUDHSUG,Oudh Sugar Mills Ltd. (OUDHSUG)
XNSE,SIRPAPER_UADJ,Sirpur Paper Mills Ltd. (SIRPAPER) Unadjusted Stock Prices
XNSE,MFDPRMABGP,DHFL Pramerica Asset Managers Private Limited (MFDPRMABGP)
XNSE,SMMITCON_UADJ,MITCON Consultancy & Engineering Services Ltd (SMMITCON) Unadjusted Stock Prices
XNSE,MFSC2RD,Sundaram Asset Management Company Limited (MFSC2RD)
XNSE,SMTHEJO_UADJ,Thejo Engineering Ltd (SMTHEJO) Unadjusted Stock Prices
XNSE,TECPRO,Tecpro Systems Ltd (TECPRO)
XNSE,ITHUSYS,Husys Consulting Ltd. (ITHUSYS)
